1049;Собрания сочинений, Издательские серии и Жанровые сборники (Публицистика);53
1050;Путешественники / Исследователи / Первооткрывател;1041
1051;Спелеология / Вулканология;747
1055;Цари / Короли / Императоры / Двор;1041
1057;Философия. Религия (периодика);1105
1058;Интересная и полезная информация;971
1059;Карты / Атласы / Схемы;747
1061;Физика;47
1062;Аквариум и его обитатели;1039
1065;Мир растений;748
1066;«Неизвестная» война / Тайны II Мировой Войны;1744
1068;Морские путешествия и приключения;430
1069;Эзотерические учения, тайные эзотерические общества;1809
1070;Популярная история СССР;511
1071;Альтернативные исторические версии и теории;511
1072;Президенты / Ген. секретари;1041
1073;Академическая История;40
1076;Старые книги по Истории (до ~1917 г);40
1077;Военная, военно-историческая и оборонная периодика;1103
1079;«Несоветская» периодика (1917-1922, 1941-1944);1103
1090;Многотомные жанровые и тематические подборки;18
1093;Периодика по вопросам культуры, просвещения и искусства;1103
1094;Партийная литература;40
1095;Фауна. Флора. Экология (периодика);1106
1096;Научная периодика (точные науки);1106
1098;Архитектура / Строительство (периодика);1106
1099;Электротехника / Электроника / Радио / Автоматизация (периодика);1106
1100;Транспорт / Авиация / Флот (периодика);1106
1102;Общественно-политическая и публицистическая периодика (с 1918 г.);1103
1103;Издания политические, общественные и литературные;26
1105;Издания гуманитарные;26
1106;Издания по естественным, прикладным и физико-математическим знаниям;26
1107;Экономика. Делопроизводство (периодика);1105
1108;Популярная и Развлекательная периодика (Разное);1707
1110;Общественно-политическая и публицистическая периодика до 1917 г.;1103
1111;Военные приключения (Книги);279
1112;Аудиосериалы;24
1115;«S.T.A.L.K.E.R.» (Аудиосериалы);1112
1116;«Кругозор» (Аудиосериалы);1112
1117;«Этногенез» (Аудиосериалы);1112
1118;Популярная история Руси (России);511
1119;Популярная история Мира;511
1120;«Новая хронология» Фоменко А.Т. и Носовского Г.В.;511
1121;Историческая проза (серии);664
1122;Историческая проза (циклы);423
1123;Историческая проза (с.с.);278
1124;Разное (Хобби / Увлечения);581
1125;Кулинария (периодика);1207
1127;Литература по Софту;339
1128;Литература по «Железу»;339
1129;Гражданская война;1744
1133;Собрания сочинений партийных деятелей;1094
1135;Серии / Циклы / Библиотеки / Собрания сочинений (Мемуары и Биографии);1041
1136;Серии / Циклы / Библиотеки / Собрания сочинений (Академическая История);1073
1137;Точные, естественные и инженерные науки в целом;47
1138;История (Статьи, Материалы, Гипотезы, Факты);40
1139;Общая История (Статьи, Материалы, Гипотезы, Факты);1138
1140;Статьи, Материалы, Гипотезы, Факты (Военная История);1744
